vegetation_formation,Cactus scrub,Desert scrub,Riparian vegetation,Shrubland
Cactus scrub,1,0.5029659403150486,0.5062279708742371,0.42821590784554886
Desert scrub,0.5029659403150486,1,0.4348856441939497,0.5818533588090558
Riparian vegetation,0.5062279708742371,0.4348856441939497,1,0.32475373919643924
Shrubland,0.42821590784554886,0.5818533588090558,0.32475373919643924,1
