vegetation_formation,Cactus scrub,Desert scrub,Riparian vegetation,Shrubland
Cactus scrub,1,0.4890559982086544,0.4733038375301033,0.34496486308720165
Desert scrub,0.4890559982086544,1,0.45461568092615545,0.4578746560520437
Riparian vegetation,0.4733038375301033,0.45461568092615545,1,0.3534592271943484
Shrubland,0.34496486308720165,0.4578746560520437,0.3534592271943484,1
