vegetation_formation,Cactus scrub,Desert scrub,Riparian vegetation,Shrubland
Cactus scrub,1,0.49672373904459044,0.4682127149140344,0.5539823119005682
Desert scrub,0.49672373904459044,1,0.4046856490249905,0.49022587411587615
Riparian vegetation,0.4682127149140344,0.4046856490249905,1,0.4728652047758344
Shrubland,0.5539823119005682,0.49022587411587615,0.4728652047758344,1
