vegetation_formation,Cactus scrub,Desert scrub,Riparian vegetation,Shrubland
Cactus scrub,1,0.5007645765485774,0.41364649536108455,0.44633647812776134
Desert scrub,0.5007645765485774,1,0.45617612068240354,0.5478136137439451
Riparian vegetation,0.41364649536108455,0.45617612068240354,1,0.3941871479136547
Shrubland,0.44633647812776134,0.5478136137439451,0.3941871479136547,1
