vegetation_formation,Cactus scrub,Desert scrub,Riparian vegetation,Shrubland
Cactus scrub,1,0.5362108948102604,0.42698044197201,0.46784321632647197
Desert scrub,0.5362108948102604,1,0.4703696280994998,0.5334521010872759
Riparian vegetation,0.42698044197201,0.4703696280994998,1,0.4214835835606907
Shrubland,0.46784321632647197,0.5334521010872759,0.4214835835606907,1
