vegetation_formation,Cactus scrub,Desert scrub,Riparian vegetation,Shrubland
Cactus scrub,1,0.5588965195899681,0.44273461584830276,0.35408417707572204
Desert scrub,0.5588965195899681,1,0.41490602007215904,0.4836182168995967
Riparian vegetation,0.44273461584830276,0.41490602007215904,1,0.3515772482554306
Shrubland,0.35408417707572204,0.4836182168995967,0.3515772482554306,1
