vegetation_formation,Cactus scrub,Desert scrub,Riparian vegetation,Shrubland
Cactus scrub,1,0.5076524336367512,0.566994746392206,0.42712246257113773
Desert scrub,0.5076524336367512,1,0.4803030900036147,0.553279297150725
Riparian vegetation,0.566994746392206,0.4803030900036147,1,0.4302091744949912
Shrubland,0.42712246257113773,0.553279297150725,0.4302091744949912,1
