vegetation_formation,Cactus scrub,Desert scrub,Riparian vegetation,Shrubland
Cactus scrub,1,0.613427626980205,0.5108811896530263,0.4608214344090693
Desert scrub,0.613427626980205,1,0.5475005030466571,0.5418532883721585
Riparian vegetation,0.5108811896530263,0.5475005030466571,1,0.4231954341137584
Shrubland,0.4608214344090693,0.5418532883721585,0.4231954341137584,1
