vegetation_formation,Cactus scrub,Desert scrub,Riparian vegetation,Shrubland
Cactus scrub,1,0.567223335560009,0.5245921940180363,0.49243714907927283
Desert scrub,0.567223335560009,1,0.49337101257674654,0.5076465547403062
Riparian vegetation,0.5245921940180363,0.49337101257674654,1,0.46629023469061803
Shrubland,0.49243714907927283,0.5076465547403062,0.46629023469061803,1
